Rank,State/UT Name,ULB Name,Total Score (12500),SS2024(10000),GFC(!300),ODF(1200)
1,MAHARASHTRA,MIRA-BHAYANDAR,11652,9352,1100,1200
2,CHHATTISGARH,BILASPUR,11624,9354,1100,1200
3,JHARKHAND,JAMSHEDPUR,11588,9323,1100,1200
4,UTTAR PRADESH,GORAKHPUR (M. Corp),11278,9108,1100,1200
5,MAHARASHTRA,AHMEDANAGAR,11136,9196,800,1200
6,MAHARASHTRA,PANVEL,11119,9249,800,1200
7,CHHATTISGARH,BHILAI NAGAR,11055,9160,800,1200
8,CHHATTISGARH,KORBA,10564,8719,800,1200
9,ODISHA,BHUBANESWAR,10548,8608,800,1200
10,UTTAR PRADESH,MORADABAD (M. Corp),10541,8666,800,1200
11,UTTAR PRADESH,MATHURAVRINDAVAN (M. Corp),10527,8702,800,1200
12,UTTAR PRADESH,FIROZABAD (M.CORP.),10502,8647,800,1200
13,RAJASTHAN,UDAIPUR (M CL),10478,8503,800,1200
14,GUJARAT,BHAVNAGAR,10416,8691,800,1200
15,ODISHA,RAURKELA TOWN (M),10396,8701,800,1000
16,UTTAR PRADESH,SAHARANPUR (M. Corp),10338,8758,500,1200
17,UTTAR PRADESH,JHANSI (M. Corp),10159,8509,800,1000
18,MAHARASHTRA,AMRAVATI,10036,8621,500,1200
19,ANDHRA PRADESH,RAJAHMUNDRY,10017,8402,800,1000
20,UTTAR PRADESH,BAREILLY (M. Corp),9913,8433,500,1200
21,MAHARASHTRA,CHANDRAPUR_M,9878,8288,800,1000
22,TELANGANA,WARANGAL,9821,8511,500,1000
23,MAHARASHTRA,SOLAPUR,9812,8102,800,1000
24,MAHARASHTRA,NANDED WAGHALA,9659,8149,500,1200
25,HARYANA,ROHTAK,9550,8065,500,1200
26,GUJARAT,JUNAGADH,9449,8209,500,1200
27,BIHAR,GAYA,9381,7881,800,1000
28,UTTAR PRADESH,AYODHYA (M.CORP.),9291,8146,800,1000
29,GUJARAT,JAMNAGAR,9241,7816,500,1200
30,ODISHA,CUTTACK,9156,7641,500,1200
31,ANDHRA PRADESH,KADAPA,9133,7883,500,1000
32,KARNATAKA,DAVANAGERE,9131,7806,500,1000
33,UTTAR PRADESH,SHAHJAHANPUR(M.CORP),9059,7759,500,1000
34,KARNATAKA,HUBLI-DHARWAD,9035,7480,500,1200
35,MAHARASHTRA,LATUR,8940,7535,500,1000
36,UTTAR PRADESH,MUZAFFARNAGAR (NPP),8927,7772,500,1000
37,ANDHRA PRADESH,NELLORE,8891,8131,0,1000
38,ANDHRA PRADESH,KAKINADA,8842,8097,0,1000
39,MAHARASHTRA,DHULE,8809,8139,0,1000
40,MAHARASHTRA,SANGLI,8750,7465,500,1200
41,HARYANA,GURGAON,8664,7824,0,1200
42,JAMMU AND KASHMIR,JAMMU,8655,7225,800,1000
43,MAHARASHTRA,ULHASNAGAR,8632,7812,0,1000
44,ASSAM,GUWAHATI,8563,7848,500,750
45,ANDHRA PRADESH,KURNOOL,8506,7956,0,1000
46,UTTAR PRADESH,RAMPUR (NPP),8274,7739,0,1000
47,HARYANA,YAMUNANAGAR (MCL),8267,7647,0,1000
48,RAJASTHAN,BIKANER,8255,7430,0,1000
49,TAMIL NADU,TIRUCHIRAPPALLI,8239,7629,0,1000
50,KERALA,KOCHI,8181,7236,500,1000
51,MAHARASHTRA,MALEGAON,8024,7294,0,1000
52,MAHARASHTRA,JALGAON,7999,7334,0,1000
53,RAJASTHAN,BHILWARA (M CL),7988,7233,0,1000
54,RAJASTHAN,ALWAR (M CL),7935,7155,0,1000
55,PUDUCHERRY,OULGARET-OZHUKARAI,7932,7317,0,1000
56,RAJASTHAN,JODHPUR NORTH (MC),7919,7189,0,1000
57,KARNATAKA,GULBARGA (M CORP. OG),7823,7203,0,1000
58,KERALA,THRISSUR,7815,7280,500,750
59,HARYANA,HISAR,7798,7048,0,1200
60,UTTAR PRADESH,LONI (NPP),7756,7241,0,1000
61,TAMIL NADU,THOOTHUKUDI CORPORATION,7743,7138,0,1000
62,UTTARAKHAND,DEHRADUN,7614,6994,0,1000
63,RAJASTHAN,JODHPUR SOUTH (MC),7571,6951,0,1000
64,BIHAR,BHAGALPUR,7550,6700,500,750
65,MAHARASHTRA,PARBHANI,7470,6950,0,1000
66,MAHARASHTRA,KOLHAPUR,7454,6494,0,1200
67,MAHARASHTRA,BHIWANDI NIZAMPUR,7232,6852,0,1000
68,RAJASTHAN,KOTA NORTH (MC),7208,6408,0,1000
69,RAJASTHAN,AJMER,7142,6497,0,1000
70,KERALA,KOZHIKODE,7101,6716,0,750
71,MAHARASHTRA,AKOLA,7058,6263,0,1000
72,KARNATAKA,BELGAUM (M CORP. OG),7053,6468,0,750
73,KARNATAKA,BELLARY,6943,6118,0,1000
74,RAJASTHAN,KOTA SOUTH (MC),6931,6196,0,1000
75,ODISHA,BRAHMAPUR (M CORP),6911,6851,0,1000
76,PUNJAB,PATIALA,6907,6532,0,1200
77,TAMIL NADU,TIRUPPUR,6865,6390,0,1000
78,BIHAR,MUZAFFARPUR,6698,6283,0,750
79,TELANGANA,NIZAMABAD,6684,6724,0,500
80,BIHAR,BIHARSHARIF,6675,6050,0,750
81,KARNATAKA,SHIMOGA (CMC),6666,6201,0,1000
82,PUNJAB,JALANDHAR,6525,5800,0,1200
83,KARNATAKA,BIJAPUR,6524,6264,0,500
84,TAMIL NADU,TAMBARAM,6417,6267,0,1000
85,TAMIL NADU,VELLORE,6395,5775,0,1000
86,KARNATAKA,MANGALORE,6315,6285,0,500
87,TAMIL NADU,AVADI,6297,6162,0,1000
88,TRIPURA,AGARTALA,6292,5542,0,1000
89,KERALA,THIRUVANANTHAPURAM,5871,5991,0,1200
90,TAMIL NADU,TIRUNELVELI,5869,5809,0,1000
91,TAMIL NADU,SALEM,5633,5518,0,1000
92,KARNATAKA,TUMKUR,5590,4840,0,1000
93,KERALA,KOLLAM,5376,6121,0,500
94,TAMIL NADU,ERODE,4911,4511,0,1200
95,UTTAR PRADESH,MATHURA CANTT.,3452,3572,0,0
