Rank,State/UT Name,ULB Name,Total Score (12500),SS2024(10000),SS2025(2500),ODF(1200)
1,GUJARAT,AHMEDABAD,12079,9579,1300,1200
2,MADHYA PRADESH,BHOPAL,12067,9567,1300,1200
3,UTTAR PRADESH,LUCKNOW (M. Corp),12001,9501,1300,1200
4,CHHATTISGARH,RAIPUR,11996,9496,1300,1200
5,MADHYA PRADESH,JABALPUR,11989,9489,1300,1200
6,TELANGANA,GREATER HYDERABAD,11805,9350,1300,1200
7,MAHARASHTRA,PIMPRI CHINCHWAD,11782,9302,1300,1200
8,MAHARASHTRA,PUNE,11653,9393,1100,1200
9,ANDHRA PRADESH,GVMC VISAKHAPATNAM,11636,9336,1100,1200
10,UTTAR PRADESH,AGRA (M. Corp),11532,9232,1100,1200
11,UTTAR PRADESH,GHAZIABAD (M. Corp),11514,9254,1100,1200
12,UTTAR PRADESH,PRAYAGRAJ (M. Corp),11292,9017,1100,1200
13,UTTAR PRADESH,KANPUR (M. Corp),11022,8802,1100,1200
14,MADHYA PRADESH,GWALIOR,10995,9060,800,1200
15,MAHARASHTRA,THANE,10836,8956,800,1200
16,RAJASTHAN,JAIPUR GREATER (MC),10793,8923,800,1200
17,UTTAR PRADESH,VARANASI (M. Corp),10728,8778,800,1200
18,GUJARAT,VADODARA,10713,8888,800,1200
19,GUJARAT,RAJKOT,10634,8844,800,1200
20,RAJASTHAN,JAIPUR HERITAGE (MC),10630,8925,800,1000
21,BIHAR,PATNA,10584,8659,800,1200
22,MAHARASHTRA,NASHIK,10125,8270,800,1200
23,UTTAR PRADESH,MEERUT,9741,8231,500,1200
24,MAHARASHTRA,KALYAN DOMBIVALI,9436,8046,500,1000
25,MAHARASHTRA,AURANGABAD,9395,7805,500,1200
26,UTTAR PRADESH,ALIGARH (M. Corp),9378,8118,500,1000
27,MAHARASHTRA,NAGPUR,9328,8263,0,1200
28,TAMIL NADU,COIMBATORE,8347,7587,0,1000
29,MAHARASHTRA,VASAI VIRAR,8295,7455,0,1000
30,PUNJAB,AMRITSAR,8173,7183,0,1200
31,DELHI,MUNICIPAL CORPORATION OF DELHI,7920,7080,500,1200
32,JAMMU AND KASHMIR,SRINAGAR,7488,6918,0,750
33,MAHARASHTRA,GREATER MUMBAI,7419,6894,0,750
34,HARYANA,FARIDABAD,7329,6989,0,1000
35,JHARKHAND,DHANBAD,7196,6986,0,750
36,KARNATAKA,BRUHAT BENGALURU MAHANAGARA PALIKE,6842,6247,0,1200
37,JHARKHAND,RANCHI,6835,6490,0,750
38,TAMIL NADU,CHENNAI,6822,6327,0,1200
39,PUNJAB,LUDHIANA,5272,5542,0,750
40,TAMIL NADU,MADURAI,4823,4643,0,1000
