latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.970123,77.56364,910.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-01-01,26.9,18.1,1.90,1.90,53
2020-01-02,27.2,18.8,1.00,1.00,51
2020-01-03,28.2,18.6,0.00,0.00,3
2020-01-04,28.3,19.3,0.00,0.00,3
2020-01-05,28.0,19.5,0.20,0.20,51
2020-01-06,27.4,18.9,0.00,0.00,3
2020-01-07,27.1,18.3,0.00,0.00,3
2020-01-08,28.2,17.6,0.00,0.00,3
2020-01-09,29.1,17.4,0.00,0.00,3
2020-01-10,28.2,16.7,0.00,0.00,3
2020-01-11,27.7,15.4,0.00,0.00,3
2020-01-12,27.2,15.1,0.00,0.00,3
2020-01-13,28.4,17.2,0.00,0.00,3
2020-01-14,29.1,16.7,0.00,0.00,3
2020-01-15,27.8,14.6,0.00,0.00,2
2020-01-16,27.4,15.0,0.00,0.00,3
2020-01-17,28.5,15.6,0.00,0.00,3
2020-01-18,27.9,18.0,0.10,0.10,51
2020-01-19,28.1,18.5,0.20,0.20,51
2020-01-20,29.8,17.7,0.00,0.00,3
2020-01-21,29.2,16.5,0.00,0.00,3
2020-01-22,29.0,15.8,0.00,0.00,3
2020-01-23,29.1,16.9,0.00,0.00,3
2020-01-24,30.0,16.3,0.00,0.00,1
2020-01-25,30.0,15.3,0.00,0.00,3
2020-01-26,31.0,14.4,0.00,0.00,1
2020-01-27,30.8,15.7,0.00,0.00,2
2020-01-28,29.9,17.7,0.00,0.00,3
2020-01-29,30.9,17.4,0.00,0.00,3
2020-01-30,31.1,17.3,0.00,0.00,3
2020-01-31,30.7,18.2,0.00,0.00,3
2020-02-01,28.8,17.6,0.00,0.00,3
2020-02-02,28.3,18.4,0.00,0.00,3
2020-02-03,29.4,16.6,0.00,0.00,3
2020-02-04,28.7,15.5,0.00,0.00,3
2020-02-05,29.1,18.3,0.00,0.00,3
2020-02-06,29.7,16.6,0.00,0.00,3
2020-02-07,29.3,17.1,0.00,0.00,3
2020-02-08,29.5,18.0,0.00,0.00,3
2020-02-09,28.1,17.9,0.70,0.70,51
2020-02-10,28.9,18.2,0.00,0.00,3
2020-02-11,28.5,16.2,0.00,0.00,3
2020-02-12,28.9,17.3,0.00,0.00,3
2020-02-13,30.5,17.7,0.00,0.00,3
2020-02-14,30.5,16.6,0.00,0.00,1
2020-02-15,31.5,16.7,0.00,0.00,3
2020-02-16,31.3,17.4,0.00,0.00,1
2020-02-17,31.0,15.6,0.00,0.00,1
2020-02-18,30.7,16.0,0.00,0.00,3
2020-02-19,30.8,16.1,0.00,0.00,3
2020-02-20,30.9,16.0,0.00,0.00,3
2020-02-21,31.2,15.5,0.00,0.00,2
2020-02-22,30.4,17.4,0.00,0.00,3
