latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.110721,80.2459,12.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-01-01,26.9,23.8,6.60,6.60,61
2020-01-02,27.3,23.7,2.30,2.30,53
2020-01-03,28.7,23.6,1.60,1.60,51
2020-01-04,28.8,23.7,0.40,0.40,51
2020-01-05,27.6,24.7,5.30,5.30,61
2020-01-06,26.9,23.9,4.00,4.00,53
2020-01-07,27.9,24.3,2.20,2.20,51
2020-01-08,27.8,23.8,0.10,0.10,51
2020-01-09,27.5,21.5,0.00,0.00,3
2020-01-10,27.9,22.6,0.00,0.00,3
2020-01-11,27.6,21.8,0.00,0.00,3
2020-01-12,26.8,22.5,2.00,2.00,53
2020-01-13,27.6,21.4,0.10,0.10,51
2020-01-14,27.2,19.5,0.00,0.00,3
2020-01-15,27.9,22.3,0.00,0.00,3
2020-01-16,28.0,22.5,0.00,0.00,3
2020-01-17,27.5,22.9,2.20,2.20,51
2020-01-18,27.8,24.3,10.70,10.70,63
2020-01-19,28.5,24.7,0.00,0.00,3
2020-01-20,28.5,22.8,0.00,0.00,2
2020-01-21,28.4,22.8,0.00,0.00,3
2020-01-22,28.3,23.4,0.00,0.00,3
2020-01-23,28.3,23.4,0.10,0.10,51
2020-01-24,28.2,20.9,0.00,0.00,1
2020-01-25,28.0,19.5,0.00,0.00,3
2020-01-26,28.1,20.0,0.00,0.00,3
2020-01-27,28.4,20.7,0.00,0.00,1
2020-01-28,29.0,21.8,0.00,0.00,3
2020-01-29,29.1,23.0,0.00,0.00,3
2020-01-30,29.2,22.0,0.00,0.00,3
2020-01-31,29.0,22.8,0.00,0.00,3
2020-02-01,29.3,23.8,0.00,0.00,2
2020-02-02,29.0,24.3,0.00,0.00,1
2020-02-03,28.6,23.3,0.00,0.00,2
2020-02-04,28.7,22.9,1.00,1.00,51
2020-02-05,29.0,22.8,0.00,0.00,3
2020-02-06,29.0,22.3,0.00,0.00,3
2020-02-07,29.0,24.0,0.00,0.00,3
2020-02-08,29.2,23.7,0.00,0.00,1
2020-02-09,28.3,25.7,0.80,0.80,51
2020-02-10,29.2,25.0,0.00,0.00,3
2020-02-11,29.0,24.4,0.20,0.20,51
2020-02-12,29.2,24.7,0.50,0.50,51
2020-02-13,29.7,23.8,0.00,0.00,3
2020-02-14,30.6,21.4,0.00,0.00,3
2020-02-15,29.8,20.5,0.00,0.00,3
2020-02-16,28.7,21.3,0.00,0.00,2
2020-02-17,29.1,22.2,0.00,0.00,3
2020-02-18,29.1,21.0,0.00,0.00,0
2020-02-19,29.0,22.5,0.00,0.00,3
2020-02-20,29.5,22.6,0.00,0.00,3
2020-02-21,30.0,21.7,0.00,0.00,3
2020-02-22,29.8,25.1,0.30,0.30,51
2020-02-23,29.5,24.6,0.80,0.80,51
2020-02-24,29.8,23.0,0.00,0.00,3
2020-02-25,30.2,25.0,0.10,0.10,51
2020-02-26,30.0,24.9,0.40,0.40,51
2020-02-27,30.0,24.7,0.20,0.20,51
2020-02-28,29.7,25.2,0.30,0.30,51
2020-02-29,29.6,24.2,0.50,0.50,51
2020-03-01,29.7,24.7,0.20,0.20,51
2020-03-02,29.5,23.3,0.00,0.00,3
2020-03-03,31.0,23.5,0.00,0.00,3
2020-03-04,30.9,23.1,0.00,0.00,3
2020-03-05,30.5,23.8,0.00,0.00,3
2020-03-06,30.0,25.2,0.60,0.60,51
2020-03-07,29.6,26.3,0.70,0.70,51
2020-03-08,29.8,25.1,0.20,0.20,51
2020-03-09,30.4,23.8,0.00,0.00,2
2020-03-10,30.5,24.9,0.00,0.00,3
2020-03-11,30.2,24.2,0.00,0.00,3
2020-03-12,31.0,24.1,0.00,0.00,3
2020-03-13,30.7,24.2,0.00,0.00,3
2020-03-14,30.9,24.3,0.00,0.00,3
2020-03-15,30.7,24.4,0.00,0.00,3
2020-03-16,31.2,26.2,0.00,0.00,3
2020-03-17,31.4,24.8,0.00,0.00,3
2020-03-18,31.5,24.4,0.00,0.00,3
2020-03-19,32.3,25.2,0.00,0.00,2
2020-03-20,31.6,24.2,0.00,0.00,1
2020-03-21,31.7,25.3,0.00,0.00,3
2020-03-22,31.5,25.7,0.00,0.00,3
2020-03-23,31.3,25.4,0.00,0.00,2
2020-03-24,31.2,24.7,0.00,0.00,2
2020-03-25,31.4,24.1,0.00,0.00,3
2020-03-26,31.6,24.4,0.00,0.00,3
2020-03-27,31.8,24.8,0.00,0.00,3
2020-03-28,32.1,23.2,0.00,0.00,1
2020-03-29,32.4,23.2,0.00,0.00,1
2020-03-30,31.5,22.8,0.00,0.00,3
2020-03-31,32.0,23.0,0.00,0.00,3
2020-04-01,32.7,23.7,0.00,0.00,2
2020-04-02,33.1,24.9,0.00,0.00,3
2020-04-03,32.4,25.7,0.00,0.00,3
2020-04-04,32.1,25.0,0.00,0.00,2
2020-04-05,32.3,26.8,1.00,1.00,51
2020-04-06,32.8,27.0,1.30,1.30,53
2020-04-07,32.4,27.1,0.60,0.60,51
2020-04-08,33.2,27.1,0.80,0.80,51
2020-04-09,32.1,27.3,1.50,1.50,53
2020-04-10,32.6,25.8,0.10,0.10,51
2020-04-11,32.1,26.9,0.30,0.30,51
2020-04-12,32.3,25.2,0.00,0.00,2
2020-04-13,32.3,24.6,0.00,0.00,1
2020-04-14,32.4,24.4,0.00,0.00,2
2020-04-15,32.4,25.4,0.00,0.00,2
2020-04-16,32.8,25.1,0.00,0.00,2
2020-04-17,33.2,26.9,0.00,0.00,2
2020-04-18,32.8,26.7,0.20,0.20,51
2020-04-19,32.8,27.2,0.20,0.20,51
2020-04-20,33.0,27.0,0.20,0.20,51
2020-04-21,32.8,26.2,0.00,0.00,2
2020-04-22,33.4,26.3,0.20,0.20,51
2020-04-23,33.5,27.0,0.00,0.00,3
2020-04-24,33.6,27.2,0.20,0.20,51
2020-04-25,34.6,28.3,0.00,0.00,3
2020-04-26,33.6,26.7,0.50,0.50,51
2020-04-27,32.9,28.3,2.90,2.90,61
2020-04-28,32.8,27.9,0.90,0.90,51
2020-04-29,34.2,27.4,0.00,0.00,3
2020-04-30,33.1,27.0,0.30,0.30,51
2020-05-01,34.0,27.3,0.00,0.00,2
2020-05-02,33.7,27.3,0.00,0.00,3
2020-05-03,33.8,27.6,0.00,0.00,3
2020-05-04,33.5,26.5,0.00,0.00,3
2020-05-05,33.6,27.5,0.00,0.00,2
2020-05-06,33.4,27.2,0.00,0.00,2
2020-05-07,33.8,27.3,0.20,0.20,51
2020-05-08,33.9,27.6,0.20,0.20,51
2020-05-09,33.8,27.7,0.00,0.00,3
2020-05-10,33.5,27.2,0.00,0.00,2
2020-05-11,33.4,27.2,0.30,0.30,51
2020-05-12,31.2,27.8,1.00,1.00,51
2020-05-13,33.3,27.0,0.00,0.00,3
2020-05-14,33.3,27.4,0.20,0.20,51
2020-05-15,33.9,26.9,0.70,0.70,51
2020-05-16,35.5,27.4,0.10,0.10,51
2020-05-17,34.9,27.3,0.00,0.00,3
2020-05-18,38.7,28.6,0.40,0.40,51
2020-05-19,42.0,28.8,0.10,0.10,51
2020-05-20,41.6,30.5,0.00,0.00,3
2020-05-21,38.9,30.1,0.00,0.00,3
2020-05-22,38.2,28.9,0.00,0.00,3
2020-05-23,35.4,28.7,0.00,0.00,1
2020-05-24,34.3,28.6,0.20,0.20,51
2020-05-25,34.1,28.6,0.10,0.10,51
2020-05-26,33.9,28.6,1.10,1.10,53
2020-05-27,34.7,29.0,0.20,0.20,51
2020-05-28,35.5,29.0,0.00,0.00,3
2020-05-29,35.8,29.0,0.00,0.00,3
2020-05-30,33.5,29.2,0.00,0.00,3
2020-05-31,33.9,28.7,0.00,0.00,3
2020-06-01,35.0,28.9,0.00,0.00,3
2020-06-02,34.6,28.6,0.70,0.70,53
2020-06-03,35.8,28.5,0.00,0.00,3
2020-06-04,35.8,28.8,0.00,0.00,3
2020-06-05,36.3,29.9,0.70,0.70,53
2020-06-06,36.5,27.9,2.20,2.20,61
2020-06-07,36.8,29.3,0.00,0.00,3
2020-06-08,37.1,28.8,0.10,0.10,51
2020-06-09,36.9,28.6,0.00,0.00,3
2020-06-10,33.6,27.3,0.80,0.80,53
2020-06-11,34.9,26.8,1.20,1.20,51
2020-06-12,36.3,27.7,0.00,0.00,3
2020-06-13,36.1,28.8,0.70,0.70,51
2020-06-14,36.9,29.0,0.70,0.70,51
2020-06-15,38.4,30.1,1.90,1.90,61
2020-06-16,37.1,29.0,0.00,0.00,3
2020-06-17,36.9,28.3,0.50,0.50,51
2020-06-18,36.7,29.7,0.30,0.30,51
2020-06-19,37.2,29.3,0.30,0.30,51
2020-06-20,37.0,28.6,0.40,0.40,51
2020-06-21,36.7,27.9,0.40,0.40,51
2020-06-22,36.3,26.6,7.10,7.10,63
2020-06-23,33.5,25.9,8.10,8.10,61
2020-06-24,32.6,25.9,2.50,2.50,61
2020-06-25,30.8,26.2,1.30,1.30,53
2020-06-26,31.3,25.7,3.30,3.30,55
2020-06-27,32.8,27.0,2.10,2.10,55
2020-06-28,32.4,27.1,2.80,2.80,61
2020-06-29,31.4,26.7,5.70,5.70,63
2020-06-30,31.7,26.0,10.30,10.30,63
2020-07-01,32.8,25.8,7.10,7.10,63
2020-07-02,31.1,26.6,4.90,4.90,61
2020-07-03,32.7,25.8,1.80,1.80,53
2020-07-04,31.7,25.6,1.70,1.70,53
2020-07-05,32.4,26.8,0.00,0.00,3
2020-07-06,33.5,26.9,1.40,1.40,51
2020-07-07,34.6,26.8,2.60,2.60,55
2020-07-08,31.9,26.0,5.80,5.80,61
2020-07-09,31.3,25.6,17.00,17.00,63
2020-07-10,32.3,25.0,22.20,22.20,65
2020-07-11,30.1,25.5,5.40,5.40,61
2020-07-12,33.6,26.5,5.70,5.70,61
2020-07-13,32.0,24.9,5.80,5.80,61
2020-07-14,31.8,26.8,0.80,0.80,51
2020-07-15,32.5,26.2,4.00,4.00,61
2020-07-16,31.8,26.2,0.80,0.80,53
2020-07-17,32.7,25.9,1.10,1.10,53
2020-07-18,32.0,26.6,0.00,0.00,3
2020-07-19,30.5,26.1,3.90,3.90,53
2020-07-20,30.6,25.9,6.60,6.60,61
2020-07-21,30.7,26.8,0.50,0.50,51
2020-07-22,31.4,26.9,0.70,0.70,51
2020-07-23,31.8,25.9,11.90,11.90,65
2020-07-24,31.7,25.2,9.70,9.70,63
2020-07-25,31.9,25.3,2.30,2.30,55
2020-07-26,32.1,25.2,0.30,0.30,51
2020-07-27,32.6,26.6,5.50,5.50,61
2020-07-28,33.3,25.4,13.20,13.20,63
2020-07-29,31.2,25.2,25.10,25.10,63
2020-07-30,32.4,26.0,8.90,8.90,63
