latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
17.398945,78.457085,505.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-01-01,26.7,18.7,0.20,0.20,51
2020-01-02,26.7,20.0,0.50,0.50,51
2020-01-03,27.3,19.9,0.70,0.70,51
2020-01-04,26.7,18.7,0.40,0.40,51
2020-01-05,25.5,17.1,0.00,0.00,3
2020-01-06,25.9,16.7,0.00,0.00,3
2020-01-07,27.2,19.5,0.00,0.00,3
2020-01-08,28.9,19.5,0.00,0.00,3
2020-01-09,27.7,18.9,0.30,0.30,51
2020-01-10,26.5,19.0,0.30,0.30,51
2020-01-11,26.9,15.8,0.00,0.00,2
2020-01-12,27.6,15.1,0.00,0.00,0
2020-01-13,28.7,16.1,0.00,0.00,1
2020-01-14,28.8,15.6,0.00,0.00,2
2020-01-15,27.7,17.0,0.00,0.00,0
2020-01-16,27.9,16.5,0.00,0.00,3
2020-01-17,27.9,17.1,0.00,0.00,3
2020-01-18,28.5,18.5,0.00,0.00,3
2020-01-19,28.8,18.7,0.00,0.00,3
2020-01-20,28.2,18.7,0.10,0.10,51
2020-01-21,28.7,18.4,0.00,0.00,2
2020-01-22,28.7,17.8,0.00,0.00,1
2020-01-23,28.5,15.8,0.00,0.00,3
2020-01-24,29.3,18.3,0.00,0.00,1
2020-01-25,29.4,17.2,0.00,0.00,3
2020-01-26,30.4,17.6,0.00,0.00,0
2020-01-27,30.9,17.4,0.00,0.00,3
2020-01-28,30.4,18.6,0.00,0.00,2
2020-01-29,30.6,19.1,0.00,0.00,3
2020-01-30,29.8,18.7,0.00,0.00,1
2020-01-31,29.4,17.4,0.00,0.00,2
2020-02-01,29.2,19.4,0.00,0.00,3
2020-02-02,28.5,19.6,0.20,0.20,51
2020-02-03,29.3,19.0,0.00,0.00,3
2020-02-04,30.1,18.5,0.00,0.00,3
2020-02-05,29.2,17.9,0.00,0.00,3
2020-02-06,30.8,18.5,0.00,0.00,3
2020-02-07,29.4,19.7,0.20,0.20,51
2020-02-08,27.2,18.9,3.20,3.20,53
2020-02-09,21.6,18.5,17.00,17.00,63
2020-02-10,25.0,18.2,1.10,1.10,51
2020-02-11,26.1,19.3,0.60,0.60,51
2020-02-12,26.9,18.1,0.20,0.20,51
2020-02-13,29.4,17.9,0.00,0.00,1
2020-02-14,29.9,15.9,0.00,0.00,2
2020-02-15,31.0,15.7,0.00,0.00,0
2020-02-16,30.6,16.8,0.00,0.00,0
2020-02-17,30.7,16.5,0.00,0.00,0
2020-02-18,30.3,17.6,0.00,0.00,3
2020-02-19,30.6,15.4,0.00,0.00,0
2020-02-20,30.1,18.1,0.00,0.00,3
2020-02-21,29.5,17.3,0.00,0.00,0
2020-02-22,30.2,16.4,0.00,0.00,0
2020-02-23,30.0,17.3,0.00,0.00,3
2020-02-24,31.4,17.7,0.00,0.00,3
2020-02-25,31.0,19.8,0.00,0.00,3
2020-02-26,29.6,18.9,0.00,0.00,1
2020-02-27,29.9,18.1,0.00,0.00,0
2020-02-28,30.2,16.8,0.00,0.00,3
2020-02-29,29.6,19.0,0.00,0.00,3
2020-03-01,30.6,19.2,0.00,0.00,2
2020-03-02,29.9,21.2,0.00,0.00,3
2020-03-03,30.9,19.5,0.50,0.50,51
2020-03-04,33.0,20.3,0.00,0.00,2
2020-03-05,31.6,18.8,0.00,0.00,2
2020-03-06,31.7,20.4,0.30,0.30,51
2020-03-07,31.2,21.2,0.20,0.20,51
2020-03-08,30.1,21.3,0.00,0.00,3
2020-03-09,30.3,20.8,0.50,0.50,51
2020-03-10,31.9,20.9,0.60,0.60,51
2020-03-11,31.5,21.5,0.60,0.60,51
2020-03-12,31.5,21.2,0.50,0.50,51
2020-03-13,32.6,21.2,0.00,0.00,3
2020-03-14,33.3,20.1,0.00,0.00,3
2020-03-15,31.7,20.3,0.00,0.00,2
2020-03-16,32.1,20.1,0.00,0.00,1
2020-03-17,33.4,21.6,0.00,0.00,1
2020-03-18,33.5,20.2,0.00,0.00,1
2020-03-19,32.8,22.1,0.00,0.00,2
2020-03-20,33.0,21.8,0.00,0.00,1
2020-03-21,31.2,20.6,0.50,0.50,51
2020-03-22,32.4,20.7,0.00,0.00,2
2020-03-23,31.8,21.1,0.50,0.50,51
2020-03-24,32.5,21.4,0.00,0.00,3
2020-03-25,32.6,21.5,0.00,0.00,1
2020-03-26,33.0,21.5,0.00,0.00,1
2020-03-27,34.4,22.1,0.00,0.00,0
2020-03-28,34.7,21.6,0.00,0.00,1
2020-03-29,35.0,23.0,0.00,0.00,2
2020-03-30,34.4,22.3,0.00,0.00,0
2020-03-31,34.9,21.4,0.00,0.00,1
2020-04-01,33.9,23.0,0.00,0.00,3
2020-04-02,34.0,24.0,0.00,0.00,3
