latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.601053,88.31776,12.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-01-01,25.0,11.3,0.00,0.00,1
2020-01-02,25.6,14.0,0.00,0.00,3
2020-01-03,21.2,15.2,15.20,15.20,63
2020-01-04,22.9,14.9,0.20,0.20,51
2020-01-05,22.0,14.1,0.10,0.10,51
2020-01-06,22.3,11.8,0.00,0.00,0
2020-01-07,22.8,11.6,0.00,0.00,0
2020-01-08,24.0,12.2,0.00,0.00,3
2020-01-09,22.9,14.8,0.10,0.10,51
2020-01-10,23.2,14.8,0.00,0.00,3
2020-01-11,21.3,11.6,0.00,0.00,3
2020-01-12,22.3,11.9,0.00,0.00,0
2020-01-13,22.4,11.4,0.00,0.00,0
2020-01-14,24.0,11.1,0.00,0.00,0
2020-01-15,26.0,13.1,0.00,0.00,0
2020-01-16,27.0,14.0,0.00,0.00,1
2020-01-17,27.8,16.0,0.00,0.00,3
2020-01-18,27.8,15.4,0.00,0.00,3
2020-01-19,27.6,14.9,0.00,0.00,1
2020-01-20,22.2,15.4,0.50,0.50,51
2020-01-21,24.2,13.2,0.00,0.00,3
2020-01-22,25.3,13.0,0.00,0.00,3
2020-01-23,24.7,14.6,0.90,0.90,53
2020-01-24,24.3,14.7,0.00,0.00,3
2020-01-25,23.9,11.2,0.00,0.00,0
2020-01-26,24.6,11.4,0.00,0.00,0
2020-01-27,24.5,11.6,0.00,0.00,2
2020-01-28,26.5,13.6,0.00,0.00,1
2020-01-29,24.7,18.0,7.80,7.80,63
2020-01-30,22.8,16.9,6.20,6.20,61
2020-01-31,24.5,15.1,0.00,0.00,1
2020-02-01,24.7,13.6,0.00,0.00,0
2020-02-02,23.9,13.7,0.00,0.00,2
2020-02-03,23.9,12.0,0.00,0.00,0
2020-02-04,24.7,11.0,0.00,0.00,3
2020-02-05,25.4,16.6,0.00,0.00,3
2020-02-06,26.4,14.4,0.00,0.00,3
2020-02-07,24.1,16.2,0.00,0.00,3
2020-02-08,21.0,15.2,0.20,0.20,51
2020-02-09,25.7,14.6,0.00,0.00,3
2020-02-10,25.4,12.7,0.00,0.00,1
2020-02-11,26.1,11.4,0.00,0.00,0
