latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.086115,72.85291,6.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-01-01,25.9,15.6,0.00,0.00,0
2020-01-02,26.7,17.7,0.00,0.00,3
2020-01-03,26.5,18.5,0.00,0.00,3
2020-01-04,25.9,18.3,0.00,0.00,3
2020-01-05,29.7,18.4,0.00,0.00,0
2020-01-06,30.6,20.7,0.00,0.00,0
2020-01-07,28.0,20.3,0.00,0.00,0
2020-01-08,27.4,20.9,0.00,0.00,1
2020-01-09,27.6,19.2,0.00,0.00,0
2020-01-10,30.8,19.0,0.00,0.00,2
2020-01-11,32.1,21.1,0.00,0.00,0
2020-01-12,30.1,20.4,0.00,0.00,1
2020-01-13,27.7,21.7,0.40,0.40,51
2020-01-14,26.8,20.8,0.20,0.20,51
2020-01-15,25.3,19.3,0.00,0.00,0
2020-01-16,24.2,17.2,0.00,0.00,1
2020-01-17,24.5,15.9,0.00,0.00,0
2020-01-18,27.8,15.3,0.00,0.00,1
2020-01-19,29.1,17.9,0.00,0.00,0
2020-01-20,30.8,18.4,0.00,0.00,0
2020-01-21,29.2,18.9,0.00,0.00,0
2020-01-22,30.7,19.0,0.00,0.00,1
2020-01-23,31.8,21.7,0.00,0.00,1
2020-01-24,31.8,21.1,0.00,0.00,0
2020-01-25,30.6,20.4,0.00,0.00,3
2020-01-26,30.4,19.6,0.00,0.00,0
2020-01-27,28.0,20.3,0.00,0.00,0
2020-01-28,26.5,19.9,1.00,1.00,51
2020-01-29,24.7,18.4,0.00,0.00,2
2020-01-30,27.5,15.9,0.00,0.00,3
2020-01-31,26.1,15.9,0.00,0.00,2
2020-02-01,28.2,17.7,0.00,0.00,0
2020-02-02,29.3,18.4,0.00,0.00,3
2020-02-03,27.0,17.9,0.00,0.00,3
2020-02-04,28.0,19.6,0.00,0.00,3
2020-02-05,29.3,18.4,0.00,0.00,3
2020-02-06,27.2,19.0,0.00,0.00,3
2020-02-07,26.7,17.5,0.00,0.00,0
2020-02-08,29.4,17.2,0.00,0.00,0
2020-02-09,30.9,20.8,0.00,0.00,1
2020-02-10,31.8,21.9,0.00,0.00,1
2020-02-11,33.2,22.4,0.00,0.00,3
2020-02-12,34.6,23.1,0.00,0.00,3
2020-02-13,34.1,23.6,0.00,0.00,3
2020-02-14,33.1,23.7,0.00,0.00,0
2020-02-15,31.1,21.9,0.00,0.00,0
2020-02-16,31.4,20.8,0.00,0.00,0
2020-02-17,33.7,20.6,0.00,0.00,0
2020-02-18,34.3,22.0,0.00,0.00,0
2020-02-19,31.9,21.2,0.00,0.00,0
2020-02-20,30.8,20.7,0.00,0.00,2
2020-02-21,30.5,21.2,0.00,0.00,3
2020-02-22,32.2,20.8,0.00,0.00,3
2020-02-23,32.9,21.4,0.00,0.00,0
2020-02-24,31.2,20.0,0.00,0.00,3
2020-02-25,34.3,23.0,0.00,0.00,3
2020-02-26,34.6,22.9,0.00,0.00,1
2020-02-27,35.6,20.2,0.00,0.00,0
2020-02-28,32.2,20.0,0.00,0.00,0
2020-02-29,31.4,20.2,0.00,0.00,0
2020-03-01,29.7,20.7,0.00,0.00,0
2020-03-02,29.1,20.5,0.00,0.00,0
2020-03-03,28.5,20.7,0.10,0.10,51
2020-03-04,28.1,21.0,0.00,0.00,1
2020-03-05,28.2,21.2,0.00,0.00,1
2020-03-06,28.4,22.0,0.00,0.00,1
2020-03-07,27.8,20.8,0.00,0.00,1
2020-03-08,28.1,18.8,0.00,0.00,0
2020-03-09,28.5,19.1,0.00,0.00,0
2020-03-10,28.1,20.7,0.00,0.00,1
2020-03-11,28.0,22.4,0.00,0.00,1
